decision_date,execution_date,next_execution_date,fold_id,baseline_target_asset,baseline_symbol,baseline_gross_return,absolute_opportunity_score,all_horizon_risk_safety,horizon_agreement,base_asset,top_1_asset,top_2_asset,timing_override,base_short_profit,challenger_short_profit,from_asset,selected_asset,gate_reason,absolute_entry_threshold,absolute_exit_threshold,cash_reentry_threshold,minimum_risk_safety,minimum_horizon_agreement,reentry_confirmation_sessions,gross_return,net_return,cost_sides,loss_avoided_by_cash_usd,profit_missed_by_cash_usd,strategy_equity,strategy_drawdown
2020-07-22T04:00:00+00:00,2020-07-23T04:00:00+00:00,2020-07-24T04:00:00+00:00,1,AMZN,AMZN,-0.054289587502420744,0.7951441672214311,0.2916666666666667,0.9458333333333333,AMZN,AMZN,COST,False,0.9583333333333333,0.0,CASH,AMZN,baseline_temporal,0.5,0.4,0.55,0.2,0.55,1,-0.054289587502420744,-0.054289587502420744,1,0.0,0.0,9457.104124975793,0.0
2020-07-23T04:00:00+00:00,2020-07-24T04:00:00+00:00,2020-07-27T04:00:00+00:00,1,AMZN,AMZN,0.045051194539249106,0.6866403173262272,0.21870039021600524,0.8124999999999999,AMZN,AMZN,COST,False,0.8333333333333333,0.020833333333333315,AMZN,AMZN,baseline_temporal,0.5,0.4,0.55,0.2,0.55,1,0.045051194539249106,0.045051194539249106,0,0.0,0.0,9883.157962688012,0.0
2020-07-24T04:00:00+00:00,2020-07-27T04:00:00+00:00,2020-07-28T04:00:00+00:00,1,AMZN,AMZN,-0.0025473546701501038,0.7131465318873579,0.22906744709867716,0.9041666666666666,AMZN,AMZN,COST,False,0.8333333333333333,0.020833333333333315,AMZN,AMZN,baseline_temporal,0.5,0.4,0.55,0.2,0.55,1,-0.0025473546701501038,-0.0025473546701501038,0,0.0,0.0,9857.982054095928,-0.0025473546701499927
2020-07-27T04:00:00+00:00,2020-07-28T04:00:00+00:00,2020-07-29T04:00:00+00:00,1,AMZN,AMZN,-0.007596097177656969,0.808243925641971,0.3699156911266535,0.8770833333333333,AMZN,AMZN,COST,False,0.9791666666666667,0.04166666666666663,AMZN,AMZN,baseline_temporal,0.5,0.4,0.55,0.2,0.55,1,-0.007596097177656969,-0.007596097177656969,0,0.0,0.0,9783.099864437418,-0.010124101894186555
2020-07-28T04:00:00+00:00,2020-07-29T04:00:00+00:00,2020-07-30T04:00:00+00:00,1,AMZN,AMZN,-0.0056087099967009335,0.8386004328694865,0.4325149106946431,0.9520833333333334,AMZN,AMZN,COST,False,0.9791666666666667,0.0,AMZN,AMZN,baseline_temporal,0.5,0.4,0.55,0.2,0.55,1,-0.0056087099967009335,-0.0056087099967009335,0,0.0,0.0,9728.229294429022,-0.015676028739386116
2020-07-29T04:00:00+00:00,2020-07-30T04:00:00+00:00,2020-07-31T04:00:00+00:00,1,AMZN,AMZN,0.07631055076310544,0.8172895527718155,0.43251491069464304,0.9750000000000001,AMZN,AMZN,AMD,False,0.9166666666666666,0.8541666666666667,AMZN,AMZN,baseline_temporal,0.5,0.4,0.55,0.2,0.55,1,0.07631055076310544,0.07631055076310544,0,0.0,0.0,10470.595829836677,0.0
2020-07-30T04:00:00+00:00,2020-07-31T04:00:00+00:00,2020-08-03T04:00:00+00:00,1,AMZN,AMZN,-0.019543773119605312,0.7152185054878942,0.35426588623465616,0.9395833333333332,AMZN,AMZN,AMD,False,0.7708333333333333,0.9583333333333334,AMZN,AMZN,baseline_temporal,0.5,0.4,0.55,0.2,0.55,1,-0.019543773119605312,-0.019543773119605312,0,0.0,0.0,10265.960880511264,-0.0195437731196052
2020-07-31T04:00:00+00:00,2020-08-03T04:00:00+00:00,2020-08-04T04:00:00+00:00,1,AMZN,AMZN,-0.024963843300006228,0.5134337676240317,0.2760168617746693,0.76875,AMZN,AMZN,AMD,False,0.5208333333333333,0.8958333333333334,AMZN,AMZN,baseline_temporal,0.5,0.4,0.55,0.2,0.55,1,-0.024963843300006228,-0.024963843300006228,0,0.0,0.0,10009.683041766186,-0.04401972872996285
2020-08-03T04:00:00+00:00,2020-08-04T04:00:00+00:00,2020-08-05T04:00:00+00:00,1,AMZN,AMZN,0.013736618083322494,0.741958916496159,0.42723216268531766,0.9416666666666667,AMZN,AMZN,AMD,False,0.7916666666666666,0.9375,AMZN,AMZN,baseline_temporal,0.5,0.4,0.55,0.2,0.55,1,0.013736618083322494,0.013736618083322494,0,0.0,0.0,10147.182234846037,-0.030887792848335316
2020-08-04T04:00:00+00:00,2020-08-05T04:00:00+00:00,2020-08-06T04:00:00+00:00,1,AMZN,AMZN,0.016095171448565537,0.7138889825521008,0.3959325529013229,0.9458333333333333,AMZN,AMZN,V,False,0.75,0.2708333333333333,AMZN,AMZN,baseline_temporal,0.5,0.4,0.55,0.2,0.55,1,0.016095171448565537,0.016095171448565537,0,0.0,0.0,10310.502872635723,-0.01528976572133156
2020-08-05T04:00:00+00:00,2020-08-06T04:00:00+00:00,2020-08-07T04:00:00+00:00,1,AMZN,AMZN,0.009266215877786088,0.693914589388873,0.3437003902160053,0.7979166666666666,AMZN,AMZN,AMD,False,0.8125,0.9583333333333334,AMZN,AMZN,baseline_temporal,0.5,0.4,0.55,0.2,0.55,1,0.009266215877786088,0.009266215877786088,0,0.0,0.0,10406.042218062099,-0.006165228113440113
